--- Running testcase sched_jitter  ---
Mon Jun 10 13:56:00 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/icslab-mtca-daq02-x86_64-3.10.0-957.12.2.rt56.929.el7.x86_64-2019-06-10-sched_jitter.log
delta: 106447761 ns
delta: 106169385 ns
delta: 106021784 ns
delta: 106149387 ns
delta: 106573972 ns
delta: 107974790 ns
delta: 107181563 ns
delta: 106586933 ns
delta: 107104908 ns
delta: 106868964 ns
delta: 106556865 ns
delta: 106372464 ns
delta: 106905591 ns
delta: 106757046 ns
delta: 107090792 ns
delta: 106783235 ns
delta: 106983424 ns
delta: 106746814 ns
delta: 106748708 ns
delta: 106561288 ns
delta: 106958045 ns
delta: 106769554 ns
delta: 106928118 ns
delta: 106559268 ns
delta: 106816595 ns
delta: 106034283 ns
delta: 106354105 ns
delta: 106459045 ns
delta: 106293826 ns
delta: 106122509 ns
delta: 106424180 ns
delta: 106274390 ns
delta: 106550540 ns
delta: 106351547 ns
delta: 106339717 ns
delta: 107863623 ns
delta: 108179069 ns
delta: 106607699 ns
delta: 106542395 ns
delta: 106382039 ns
delta: 106346610 ns
delta: 106487872 ns
delta: 107183290 ns
delta: 107262808 ns
delta: 106710536 ns
delta: 106943829 ns
delta: 107035604 ns
delta: 106583124 ns
delta: 106316464 ns
delta: 107011398 ns
delta: 106927807 ns
delta: 106823913 ns
delta: 106864942 ns
delta: 107460783 ns
delta: 106758143 ns
delta: 106989496 ns
delta: 106599909 ns
delta: 107020091 ns
delta: 107029000 ns
delta: 107027908 ns
delta: 107029949 ns
delta: 108505651 ns
delta: 107194734 ns
delta: 107367681 ns
delta: 106271122 ns
delta: 106795336 ns
delta: 107129548 ns
delta: 107375448 ns
delta: 107000592 ns
delta: 106991212 ns
delta: 107732388 ns
delta: 107601055 ns
delta: 107275333 ns
delta: 106897567 ns
delta: 107256549 ns
delta: 107489722 ns
delta: 106728406 ns
delta: 107529617 ns
delta: 107264006 ns
delta: 106918819 ns
delta: 106899005 ns
delta: 106148142 ns
delta: 106108864 ns
delta: 106313779 ns
delta: 106111362 ns
delta: 106137254 ns
delta: 106430084 ns
delta: 106393400 ns
delta: 106370480 ns
delta: 105984020 ns
delta: 106680598 ns
delta: 106683781 ns
delta: 106725386 ns
delta: 106210225 ns
delta: 106408153 ns
delta: 106692348 ns
delta: 106294926 ns
delta: 106298645 ns
delta: 106136708 ns
delta: 107129506 ns
delta: 106905350 ns
delta: 106354934 ns
delta: 107174534 ns
delta: 106682500 ns
delta: 106416733 ns
delta: 106038153 ns
delta: 106183652 ns
delta: 106824385 ns
delta: 106373338 ns
delta: 106254312 ns
delta: 106228105 ns
delta: 106517641 ns
delta: 106283411 ns
delta: 106698328 ns
delta: 106271710 ns
delta: 106758941 ns
delta: 106403642 ns
delta: 106826370 ns
delta: 107102006 ns
delta: 106769451 ns
delta: 106595849 ns
delta: 106941644 ns
delta: 106400986 ns
delta: 106532566 ns
delta: 106349439 ns
delta: 106698773 ns
delta: 106388872 ns
delta: 106799073 ns
delta: 106729594 ns
delta: 106566176 ns
delta: 106317554 ns
delta: 106377975 ns
delta: 106408355 ns
delta: 106912731 ns
delta: 106638780 ns
delta: 106132809 ns
delta: 108015845 ns
delta: 108429132 ns
delta: 108554023 ns
delta: 108469832 ns
delta: 108221460 ns
delta: 108362685 ns
delta: 108173138 ns
delta: 108340581 ns
delta: 108375029 ns
delta: 108228545 ns
delta: 108211222 ns
delta: 107902662 ns
delta: 107440182 ns
delta: 107370074 ns
delta: 106977990 ns
delta: 106921706 ns
delta: 106989393 ns
delta: 106951894 ns
delta: 107051178 ns
delta: 106773842 ns
delta: 106444222 ns
delta: 106391010 ns
delta: 106798249 ns
delta: 105968606 ns
delta: 106177824 ns
delta: 106723956 ns
delta: 106688008 ns
delta: 106291465 ns
delta: 106597324 ns
delta: 106619862 ns
delta: 106860622 ns
delta: 106240798 ns
delta: 106376195 ns
delta: 106497450 ns
delta: 106645782 ns
delta: 106126805 ns
delta: 106309747 ns
delta: 106361506 ns
delta: 107040571 ns
delta: 106077109 ns
delta: 106063999 ns
delta: 106318517 ns
delta: 106262901 ns
delta: 106549790 ns
delta: 106431177 ns
delta: 106769884 ns
delta: 106304439 ns
delta: 106148306 ns
delta: 105644885 ns
delta: 106300374 ns
delta: 106453408 ns
delta: 106429140 ns
delta: 106010526 ns
delta: 106638661 ns
delta: 106435024 ns
delta: 106736533 ns
delta: 106498575 ns
delta: 106246504 ns
delta: 106683581 ns
delta: 106687827 ns
delta: 105995384 ns
delta: 106222889 ns
delta: 106288419 ns
delta: 106500358 ns
delta: 105885357 ns
delta: 105952498 ns
delta: 106433214 ns
delta: 106359313 ns
delta: 106321045 ns
delta: 106250109 ns
delta: 106338312 ns
delta: 106584005 ns
delta: 107017642 ns
delta: 106562511 ns
delta: 106504311 ns
delta: 107151910 ns
delta: 106131243 ns
delta: 106143602 ns
delta: 106379332 ns
delta: 106521983 ns
delta: 106438225 ns
delta: 105961136 ns
delta: 106371986 ns
delta: 106551336 ns
delta: 106584036 ns
delta: 106427507 ns
delta: 106449938 ns
delta: 106419909 ns
delta: 106889971 ns
delta: 106512853 ns
delta: 106221485 ns
delta: 106517331 ns
delta: 106717480 ns
delta: 105823406 ns
delta: 106392879 ns
delta: 106951250 ns
delta: 106803205 ns
delta: 106560620 ns
delta: 106400947 ns
delta: 106730182 ns
delta: 106919810 ns
delta: 106804047 ns
delta: 106562599 ns
delta: 107220290 ns
delta: 106876102 ns
delta: 106561354 ns
delta: 106634072 ns
delta: 106829623 ns
delta: 106828763 ns
delta: 106713576 ns
delta: 106604830 ns
delta: 106722059 ns
delta: 106998666 ns
delta: 106714627 ns
delta: 106005458 ns
delta: 106015297 ns
delta: 106484637 ns
delta: 106849223 ns
delta: 106816361 ns
delta: 106584479 ns
delta: 106719787 ns
delta: 107290888 ns
delta: 106802858 ns
delta: 106362732 ns
delta: 107247899 ns
delta: 106791608 ns
delta: 106651944 ns
delta: 106833572 ns
delta: 107004869 ns
delta: 107242299 ns
delta: 106543185 ns
delta: 107076955 ns
delta: 107216550 ns
delta: 107018189 ns
delta: 106866906 ns
delta: 106636937 ns
delta: 106578397 ns
delta: 106838338 ns
delta: 106723071 ns
delta: 106456408 ns
delta: 106837054 ns
delta: 107011688 ns
delta: 106807378 ns
delta: 106507498 ns
delta: 106561605 ns
delta: 107065371 ns
delta: 106918383 ns
delta: 106592402 ns
delta: 106761844 ns
delta: 107104201 ns
delta: 107527751 ns
delta: 106323168 ns
delta: 106579603 ns
delta: 107122762 ns
delta: 106450770 ns
delta: 106211831 ns
delta: 106072208 ns
delta: 106139735 ns
delta: 106328374 ns
delta: 106012759 ns
delta: 106502703 ns
delta: 106550276 ns
delta: 106353479 ns
delta: 106020865 ns
delta: 105989217 ns
delta: 106158160 ns
delta: 106338242 ns
delta: 106315896 ns
delta: 106117752 ns
delta: 106594251 ns
delta: 107070165 ns
delta: 107011360 ns
delta: 106298887 ns
delta: 106777035 ns
delta: 106596119 ns
delta: 106762977 ns
delta: 106390109 ns
delta: 106760265 ns
delta: 106898952 ns
delta: 106998398 ns
delta: 106842303 ns
delta: 106847071 ns
delta: 106923414 ns
delta: 106899909 ns
delta: 106599580 ns
delta: 106616396 ns
delta: 107204366 ns
delta: 106978198 ns
delta: 106703238 ns
delta: 105872137 ns
delta: 106450778 ns
delta: 106247866 ns
delta: 106601223 ns
delta: 105946853 ns
delta: 106332061 ns
delta: 106292668 ns
delta: 106528700 ns
delta: 106092298 ns
delta: 106330150 ns
delta: 106378636 ns
delta: 106301856 ns
delta: 106090808 ns
delta: 106526690 ns
delta: 106407049 ns
delta: 107791370 ns
delta: 108174337 ns
delta: 108471895 ns
delta: 108440404 ns
delta: 108219766 ns
delta: 108333165 ns
delta: 108151356 ns
delta: 108436434 ns
delta: 108282592 ns
delta: 108380131 ns
delta: 108057300 ns
delta: 107388097 ns
delta: 106768852 ns
delta: 106533343 ns
delta: 106192854 ns
delta: 106240608 ns
delta: 106219633 ns
delta: 106474659 ns
delta: 106064307 ns
delta: 106853012 ns
delta: 106475012 ns
delta: 106556190 ns
delta: 106309210 ns
delta: 107009729 ns
delta: 106847240 ns
delta: 106087466 ns
delta: 106017981 ns
delta: 106434282 ns
delta: 106573201 ns
delta: 106265504 ns
delta: 106400543 ns
delta: 106628109 ns
delta: 106465166 ns
delta: 106634997 ns
delta: 106184632 ns
delta: 106433158 ns
delta: 106720784 ns
delta: 106748491 ns
delta: 105987156 ns
delta: 106373472 ns
delta: 106874958 ns
delta: 106227479 ns
delta: 106126990 ns
delta: 106147724 ns
delta: 106512399 ns
delta: 106214468 ns
delta: 106497449 ns
delta: 106240376 ns
delta: 106367785 ns
delta: 106576437 ns
delta: 106397073 ns
delta: 106405943 ns
delta: 106959335 ns
delta: 106972886 ns
delta: 107260014 ns
delta: 106730107 ns
delta: 107269716 ns
delta: 107275617 ns
delta: 107042171 ns
delta: 107299970 ns
delta: 106499693 ns
delta: 106162023 ns
delta: 106274570 ns
delta: 106174846 ns
delta: 106278297 ns
delta: 106441120 ns
delta: 106447522 ns
delta: 106198083 ns
delta: 106183836 ns
delta: 106458325 ns
delta: 106435914 ns
delta: 106189790 ns
delta: 106369487 ns
delta: 106454774 ns
delta: 106541666 ns
delta: 106273009 ns
delta: 106305224 ns
delta: 107001285 ns
delta: 106901543 ns
delta: 106090717 ns
delta: 106076235 ns
delta: 106511336 ns
delta: 106647713 ns
delta: 106119137 ns
delta: 106354888 ns
delta: 106720853 ns
delta: 106611974 ns
delta: 106520729 ns
delta: 106300312 ns
delta: 106492984 ns
delta: 106579527 ns
delta: 106465668 ns
delta: 106283694 ns
delta: 106070668 ns
delta: 106415460 ns
delta: 106525779 ns
delta: 106324033 ns
delta: 106236985 ns
delta: 106262720 ns
delta: 106276464 ns
delta: 106244188 ns
delta: 106250989 ns
delta: 106425016 ns
delta: 106619929 ns
delta: 106492899 ns
delta: 106185604 ns
delta: 106388753 ns
delta: 106552607 ns
delta: 106341124 ns
delta: 106116316 ns
delta: 106222994 ns
delta: 106537177 ns
delta: 106251187 ns
delta: 106233416 ns
delta: 106506213 ns
delta: 106770941 ns
delta: 106575720 ns
delta: 105950982 ns
