--- Running testcase sched_jitter  ---
Thu May 16 11:32:53 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/ip7-21-x86_64-4.9.0-9-rt-amd64-2019-05-16-sched_jitter.log
delta: 220800981 ns
delta: 221355019 ns
delta: 219923248 ns
delta: 220612746 ns
delta: 220667641 ns
delta: 221090262 ns
delta: 218767192 ns
delta: 220834581 ns
delta: 220796794 ns
delta: 221227916 ns
delta: 220691028 ns
delta: 221526022 ns
delta: 220666399 ns
delta: 221524572 ns
delta: 220472696 ns
delta: 221195657 ns
delta: 220630669 ns
delta: 220798732 ns
delta: 219639059 ns
delta: 220739259 ns
delta: 220378814 ns
delta: 221129560 ns
delta: 220334044 ns
delta: 220565307 ns
delta: 220601745 ns
delta: 221307765 ns
delta: 220654729 ns
delta: 221154490 ns
delta: 220349467 ns
delta: 220799476 ns
delta: 220782456 ns
delta: 221657092 ns
delta: 220853862 ns
delta: 220848410 ns
delta: 220997448 ns
delta: 221091818 ns
delta: 220780925 ns
delta: 220735648 ns
delta: 220752577 ns
delta: 220475424 ns
delta: 220197582 ns
delta: 220668496 ns
delta: 221412031 ns
delta: 220230170 ns
delta: 221329235 ns
delta: 220871455 ns
delta: 220956266 ns
delta: 220222446 ns
delta: 221238363 ns
delta: 220656050 ns
delta: 221055364 ns
delta: 220126135 ns
delta: 220993732 ns
delta: 220800072 ns
delta: 221161280 ns
delta: 219999543 ns
delta: 220549287 ns
delta: 220777291 ns
delta: 221209136 ns
delta: 220825689 ns
delta: 221079470 ns
delta: 220602895 ns
delta: 220889022 ns
delta: 220843838 ns
delta: 219853217 ns
delta: 220009073 ns
delta: 220832966 ns
delta: 220689747 ns
delta: 221364511 ns
delta: 220284051 ns
delta: 221150653 ns
delta: 220730865 ns
delta: 221082416 ns
delta: 220780532 ns
delta: 221784906 ns
delta: 220802928 ns
delta: 221088506 ns
delta: 220788382 ns
delta: 221181402 ns
delta: 220662568 ns
delta: 220916837 ns
delta: 220663790 ns
delta: 221293041 ns
delta: 219470040 ns
delta: 221114976 ns
delta: 220544601 ns
delta: 221141141 ns
delta: 220683357 ns
delta: 219250890 ns
delta: 217208729 ns
delta: 220031312 ns
delta: 220235831 ns
delta: 217807756 ns
delta: 219233718 ns
delta: 217879036 ns
delta: 220837362 ns
delta: 217065868 ns
delta: 219415402 ns
delta: 219029872 ns
delta: 218036027 ns
delta: 218028248 ns
delta: 217122616 ns
delta: 218535358 ns
delta: 216764096 ns
delta: 217853710 ns
delta: 218078309 ns
delta: 219775256 ns
delta: 217158137 ns
delta: 220221778 ns
delta: 218421453 ns
delta: 219565637 ns
delta: 217049916 ns
delta: 215382434 ns
delta: 217648577 ns
delta: 218003792 ns
delta: 217043419 ns
delta: 219965658 ns
delta: 215997160 ns
delta: 216689104 ns
delta: 220387992 ns
delta: 218495790 ns
delta: 214959376 ns
delta: 217419272 ns
delta: 218147212 ns
delta: 219882237 ns
delta: 217786089 ns
delta: 217285391 ns
delta: 218495794 ns
delta: 220221502 ns
delta: 216707203 ns
delta: 221700882 ns
delta: 216795287 ns
delta: 216261953 ns
delta: 216803203 ns
